"sf__Id","sf__Error",ParentProductId,ChildProductId,Quantity,MinQuantity,MaxQuantity,IsComponentRequired,Sequence,DoesBundlePriceIncludeChild
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGlAAO","01tdp000006HfpoAAC","1.0","1.0","999.0","true","10","true"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGlAAO","01tdp000006HfpkAAC","1.0","1.0","999.0","true","20","true"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGlAAO","01tdp000006HfprAAC","1.0","1.0","999.0","true","30","true"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGjAAO","01tdp000006HfpoAAC","1.0","1.0","999.0","true","40","true"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGjAAO","01tdp000006HfpkAAC","1.0","1.0","999.0","true","50","true"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGjAAO","01tdp000006HfpnAAC","1.0","1.0","999.0","true","60","true"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGjAAO","01tdp000006HfpmAAC","1.0","1.0","999.0","true","70","true"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGjAAO","01tdp000006HfppAAC","1.0","0.0","999.0","false","80","true"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGkAAO","01tdp000006HfpoAAC","1.0","1.0","999.0","true","90","true"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGkAAO","01tdp000006HfpkAAC","1.0","1.0","999.0","true","100","true"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGkAAO","01tdp000006HfpnAAC","1.0","1.0","999.0","true","110","true"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGkAAO","01tdp000006HfpmAAC","1.0","1.0","999.0","true","120","true"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGkAAO","01tdp000006HfppAAC","1.0","1.0","999.0","true","130","true"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGkAAO","01tdp000006HfplAAC","1.0","1.0","999.0","true","140","true"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProductRelationshipTypeId]:ProductRelationshipTypeId --","01tdp000006JEGkAAO","01tdp000006HfpqAAC","1.0","0.0","999.0","false","150","true"
