"sf__Id","sf__Error",ParentProductId,ChildProductId,ProductRelationshipTypeId,Quantity,Sequence
"","INVALID_INPUT:Child component must be added by default for a Static Parent Product.:IsDefaultComponent --","01tdp000006JEGlAAO","01tdp000006HfpoAAC","0yoa5000000gTtdAAE","1.0","10"
"","INVALID_INPUT:Child component must be added by default for a Static Parent Product.:IsDefaultComponent --","01tdp000006JEGlAAO","01tdp000006HfpkAAC","0yoa5000000gTtdAAE","1.0","20"
"","INVALID_INPUT:Child component must be added by default for a Static Parent Product.:IsDefaultComponent --","01tdp000006JEGlAAO","01tdp000006HfprAAC","0yoa5000000gTtdAAE","1.0","30"
"","INVALID_INPUT:Child component must be added by default for a Static Parent Product.:IsDefaultComponent --","01tdp000006JEGjAAO","01tdp000006HfpoAAC","0yoa5000000gTtdAAE","1.0","40"
"","INVALID_INPUT:Child component must be added by default for a Static Parent Product.:IsDefaultComponent --","01tdp000006JEGjAAO","01tdp000006HfpkAAC","0yoa5000000gTtdAAE","1.0","50"
"","INVALID_INPUT:Child component must be added by default for a Static Parent Product.:IsDefaultComponent --","01tdp000006JEGjAAO","01tdp000006HfpnAAC","0yoa5000000gTtdAAE","1.0","60"
"","INVALID_INPUT:Child component must be added by default for a Static Parent Product.:IsDefaultComponent --","01tdp000006JEGjAAO","01tdp000006HfpmAAC","0yoa5000000gTtdAAE","1.0","70"
"","INVALID_INPUT:Child component must be added by default for a Static Parent Product.:IsDefaultComponent --","01tdp000006JEGkAAO","01tdp000006HfpoAAC","0yoa5000000gTtdAAE","1.0","80"
"","INVALID_INPUT:Child component must be added by default for a Static Parent Product.:IsDefaultComponent --","01tdp000006JEGkAAO","01tdp000006HfpkAAC","0yoa5000000gTtdAAE","1.0","90"
"","INVALID_INPUT:Child component must be added by default for a Static Parent Product.:IsDefaultComponent --","01tdp000006JEGkAAO","01tdp000006HfpnAAC","0yoa5000000gTtdAAE","1.0","100"
"","INVALID_INPUT:Child component must be added by default for a Static Parent Product.:IsDefaultComponent --","01tdp000006JEGkAAO","01tdp000006HfpmAAC","0yoa5000000gTtdAAE","1.0","110"
"","INVALID_INPUT:Child component must be added by default for a Static Parent Product.:IsDefaultComponent --","01tdp000006JEGkAAO","01tdp000006HfppAAC","0yoa5000000gTtdAAE","1.0","120"
"","INVALID_INPUT:Child component must be added by default for a Static Parent Product.:IsDefaultComponent --","01tdp000006JEGkAAO","01tdp000006HfplAAC","0yoa5000000gTtdAAE","1.0","130"
