"sf__Id","sf__Error",Id,Name,Product2Id,AttributeDefinitionId,AttributeCategoryId,Sequence,IsRequired,IsHidden,IsReadOnly,IsPriceImpacting,DefaultValue,HelpText,MinimumValue,MaximumValue,DisplayType,Status,AttributeNameOverride,Description
"0v7dp0000000087AAA","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp0000000087AAA","Term - 6HfphAAC","01tdp000006HfphAAC","0tjdp00000000XuAAI","0v3dp00000000BOAAY","2","true","false","false","false","12.0","","","","","Active","",""
"0v7dp0000000088AAA","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp0000000088AAA","Term - 6HfpiAAC","01tdp000006HfpiAAC","0tjdp00000000XuAAI","0v3dp00000000BOAAY","2","true","false","false","false","12.0","","","","","Active","",""
"0v7dp0000000089AAA","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp0000000089AAA","Term - 6HfpjAAC","01tdp000006HfpjAAC","0tjdp00000000XuAAI","0v3dp00000000BOAAY","2","true","false","false","false","12.0","","","","","Active","",""
"0v7dp000000008AAAQ","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp000000008AAAQ","Users - 6HfpkAAC","01tdp000006HfpkAAC","0tjdp00000000XvAAI","0v3dp00000000BOAAY","3","false","false","false","false","","","","","","Active","",""
"0v7dp000000008BAAQ","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp000000008BAAQ","Users - 6HfplAAC","01tdp000006HfplAAC","0tjdp00000000XvAAI","0v3dp00000000BOAAY","3","false","false","false","false","","","","","","Active","",""
"0v7dp000000008CAAQ","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp000000008CAAQ","Users - 6HfpmAAC","01tdp000006HfpmAAC","0tjdp00000000XvAAI","0v3dp00000000BOAAY","3","false","false","false","false","","","","","","Active","",""
"0v7dp000000008DAAQ","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp000000008DAAQ","Users - 6HfpnAAC","01tdp000006HfpnAAC","0tjdp00000000XvAAI","0v3dp00000000BOAAY","3","false","false","false","false","","","","","","Active","",""
"0v7dp000000008EAAQ","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp000000008EAAQ","Users - 6HfpoAAC","01tdp000006HfpoAAC","0tjdp00000000XvAAI","0v3dp00000000BOAAY","3","false","false","false","false","","","","","","Active","",""
"0v7dp000000008FAAQ","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp000000008FAAQ","Users - 6HfppAAC","01tdp000006HfppAAC","0tjdp00000000XvAAI","0v3dp00000000BOAAY","3","false","false","false","false","","","","","","Active","",""
"0v7dp000000008GAAQ","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp000000008GAAQ","Users - 6HfpqAAC","01tdp000006HfpqAAC","0tjdp00000000XvAAI","0v3dp00000000BOAAY","3","false","false","false","false","","","","","","Active","",""
"0v7dp000000008HAAQ","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp000000008HAAQ","Users - 6HfprAAC","01tdp000006HfprAAC","0tjdp00000000XvAAI","0v3dp00000000BOAAY","3","false","false","false","false","","","","","","Active","",""
"0v7dp000000008IAAQ","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp000000008IAAQ","Users - 6HfpsAAC","01tdp000006HfpsAAC","0tjdp00000000XvAAI","0v3dp00000000BOAAY","3","false","false","false","false","","","","","","Active","",""
"0v7dp000000008JAAQ","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp000000008JAAQ","Users - 6HfptAAC","01tdp000006HfptAAC","0tjdp00000000XvAAI","0v3dp00000000BOAAY","3","false","false","false","false","","","","","","Active","",""
"0v7dp000000008KAAQ","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp000000008KAAQ","Users - 6HfpuAAC","01tdp000006HfpuAAC","0tjdp00000000XvAAI","0v3dp00000000BOAAY","3","false","false","false","false","","","","","","Active","",""
"0v7dp000000008LAAQ","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp000000008LAAQ","Users - 6HfpvAAC","01tdp000006HfpvAAC","0tjdp00000000XvAAI","0v3dp00000000BOAAY","3","false","false","false","false","","","","","","Active","",""
"0v7dp0000000085AAA","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp0000000085AAA","Managed Service - 6Hfq0AAC","01tdp000006Hfq0AAC","0tjdp00000000XtAAI","0v3dp00000000BJAAY","1","false","false","false","false","","","","","","Active","",""
"0v7dp0000000086AAA","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: AttributeCategoryId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:AttributeCategoryId --","0v7dp0000000086AAA","Managed Service - 6Hfq1AAC","01tdp000006Hfq1AAC","0tjdp00000000XtAAI","0v3dp00000000BJAAY","1","false","false","false","false","","","","","","Active","",""
