Id,Name,ProductCode,StockKeepingUnit,Description,IsActive,Family,AvailabilityDate,BasedOnId,IsAssetizable,ConfigureDuringSale,QuantityUnitOfMeasure,UnitOfMeasureId,HelpText,IsSoldOnlyWithOtherProds,TaxPolicyId,BillingPolicyId,DiscontinuedDate,EndOfLifeDate,FulfillmentQtyCalcMethod,SpecificationType
01tdp000006HfphAAC,DCS Essentials Bundle,CYB-DCS-ESS-BUN,SKU-CYB-DCS-ESS-BUN,Data Classification Suite - Essentials tier,False,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,,Each,,,False,1Tpdp0000000GZRCA2,,,,,
01tdp000006HfpiAAC,DCS Advanced Bundle,CYB-DCS-ADV-BUN,SKU-CYB-DCS-ADV-BUN,Data Classification Suite - Advanced tier,False,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,Allowed,Each,,,False,1Tpdp0000000GZRCA2,,,,,
01tdp000006HfpjAAC,DCS Elite Bundle,CYB-DCS-ELITE-BUN,SKU-CYB-DCS-ELITE-BUN-SAAS,Data Classification Suite - Elite tier (SaaS only),False,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,,Each,,,False,1Tpdp0000000GZRCA2,,,,,
01tdp000006HfpkAAC,Data Detection Engine,CYB-DCS-DDE-CMP,SKU-CYB-DCS-DDE-CMP,Data Detection Engine,False,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,,Each,,,False,1Tpdp0000000GZRCA2,,,,,
01tdp000006HfplAAC,Unlimited Classification,CYB-DCS-UC-CMP,SKU-CYB-DCS-UC-CMP,Unlimited Classification,False,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,,Each,,,False,1Tpdp0000000GZRCA2,,,,,
01tdp000006HfpmAAC,DCS Analysis Collector,CYB-DCS-ACOL-CMP,SKU-CYB-DCS-ACOL-CMP,DCS Analysis Collector,False,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,,,,,False,1Tpdp0000000GZRCA2,,,,,
01tdp000006HfpnAAC,DCS Admin Console,CYB-DCS-ACON-CMP,SKU-CYB-DCS-ACON-CMP,DCS Admin Console,False,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,,,,,False,1Tpdp0000000GZRCA2,,,,,
01tdp000006HfpoAAC,DCS for Windows,CYB-DCS-FW-CMP,SKU-CYB-DCS-FW-CMP,DCS for Windows,False,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,,,,,False,1Tpdp0000000GZRCA2,,,,,
01tdp000006HfppAAC,DCS for OWA,CYB-DCS-OWA-CMP,SKU-CYB-DCS-OWA-CMP,DCS for OWA,False,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,,,,,False,1Tpdp0000000GZRCA2,,,,,
01tdp000006HfpqAAC,DCS Software Development Kit,CYB-DCS-SDK-CMP,SKU-CYB-DCS-SDK-CMP,DCS Software Development Kit,True,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,,,,,False,1Tpdp0000000GZRCA2,,,,,
01tdp000006HfprAAC,DCS Getting Started Package,CYB-DCS-QS-CMP,SKU-CYB-DCS-QS-CMP,DCS Getting Started Package,True,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,,,,,False,1Tpdp0000000GZRCA2,,,,,
01tdp000006HfpsAAC,DCS Mail for iOS,CYB-DCS-MAIL-ADD,SKU-CYB-DCS-MAIL-ADD,Fortra Mail client for iOS devices,True,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,,,,,False,1Tpdp0000000GZRCA2,,,,,
01tdp000006HfptAAC,DCS Cloud Policy Manager for Desktop,CYB-DCS-PMD-ADD,SKU-CYB-DCS-PMD-ADD,Cloud Policy Manager for Desktop,True,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,,,,,False,1Tpdp0000000GZRCA2,,,,,
01tdp000006HfpuAAC,DCS Policy Manager M365,CYB-DCS-PM365-ADD,SKU-CYB-DCS-PM365-ADD,Cloud Policy Manager for Microsoft 365,False,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,,,,,False,1Tpdp0000000GZRCA2,,,,,
01tdp000006HfpvAAC,Professional Services Package 1,CYB-DP-PS1-SVC,SKU-CYB-DP-PS1-SVC,Professional Services Package 1,True,Data Protection,2025-06-01T17:00:00.000+0000,11Bdp000000nAELEA2,True,,,,,False,1Tpdp0000000GZRCA2,,,,,
