Name,ParentProductId,ChildProductId,ProductComponentGroupId,MinQuantity,MaxQuantity,Quantity,IsComponentRequired,Sequence,DoesBundlePriceIncludeChild,External_ID__c
PRC-000000007,01ta5000007bvSQAAY,01ta5000007bvSPAAY,0y7a5000000306mAAA,,,1.0,True,0.0,True,PRC-000000007
PRC-000000008,01ta5000007bvSQAAY,01ta5000007bvShAAI,0y7a5000000306lAAA,,,1.0,True,0.0,True,PRC-000000008
PRC-000000005,01ta5000007bvSRAAY,01ta5000007bvSSAAY,0y7a5000000306nAAA,,,1.0,False,0.0,False,PRC-000000005
PRC-000000006,01ta5000007bvSRAAY,01ta5000007bvSTAAY,0y7a5000000306nAAA,,,1.0,False,0.0,True,PRC-000000006
PRC-000000004,01ta5000007bvSRAAY,01ta5000007bvScAAI,0y7a5000000306nAAA,,,1.0,False,0.0,True,PRC-000000004
PRC-000000003,01ta5000007bvSRAAY,01ta5000007bvShAAI,0y7a5000000306oAAA,,,1.0,True,0.0,True,PRC-000000003
PRC-000000009,01ta5000007bvSSAAY,01ta5000007bvSZAAY,0y7a5000000306pAAA,,,1.0,True,0.0,True,PRC-000000009
PRC-000000010,01ta5000007bvSSAAY,01ta5000007bvSiAAI,0y7a5000000306qAAA,,,1.0,False,0.0,True,PRC-000000010
PRC-000000022,01ta5000007bvSjAAI,01ta5000007bvT2AAI,0y7a5000000306vAAA,,,1.0,True,1.0,True,PRC-000000022
PRC-000000020,01ta5000007bvSjAAI,01ta5000007bvT3AAI,0y7a5000000306wAAA,1.0,100.0,1.0,True,3.0,False,PRC-000000020
PRC-000000021,01ta5000007bvSjAAI,01ta5000007bvT4AAI,0y7a5000000306wAAA,1.0,100.0,1.0,False,4.0,False,PRC-000000021
PRC-000000023,01ta5000007bvSjAAI,01ta5000007bvT1AAI,0y7a5000000306vAAA,,,1.0,True,2.0,True,PRC-000000023
PRC-000000028,01ta5000007bvSpAAI,01ta5000007bvSmAAI,0y7a5000000306yAAA,,,8.2567,True,3.0,True,PRC-000000028
PRC-000000026,01ta5000007bvSpAAI,01ta5000007bvSnAAI,0y7a5000000306yAAA,,,3.876,True,1.0,True,PRC-000000026
PRC-000000027,01ta5000007bvSpAAI,01ta5000007bvSoAAI,0y7a5000000306yAAA,,,7.9867,True,2.0,True,PRC-000000027
PRC-000000033,01ta5000007bvSsAAI,01ta5000007bvSqAAI,0y7a50000003071AAA,,,1.55,True,1.0,True,PRC-000000033
PRC-000000034,01ta5000007bvSsAAI,01ta5000007bvSrAAI,0y7a50000003071AAA,,,2.55,True,2.0,True,PRC-000000034
PRC-000000031,01ta5000007bvStAAI,01ta5000007bvSqAAI,0y7a50000003070AAA,,,1.55,True,1.0,True,PRC-000000031
PRC-000000032,01ta5000007bvStAAI,01ta5000007bvSrAAI,0y7a50000003070AAA,,,2.55,True,2.0,True,PRC-000000032
PRC-000000011,01ta5000007bvSvAAI,01ta5000007bvT5AAI,0y7a5000000306sAAA,,,1.0,True,0.0,True,PRC-000000011
PRC-000000017,01ta5000007bvSvAAI,01ta5000007bvSxAAI,0y7a5000000306sAAA,,,1.0,True,0.0,True,PRC-000000017
PRC-000000018,01ta5000007bvSwAAI,01ta5000007bvT6AAI,0y7a5000000306tAAA,,,1.0,True,0.0,True,PRC-000000018
PRC-000000024,01ta5000007bvSwAAI,01ta5000007c0cTAAQ,0y7a5000000306kAAA,,,1.0,False,,True,PRC-000000024
PRC-000000025,01ta5000007bvSwAAI,01ta5000007c0cUAAQ,0y7a5000000306xAAA,,,1.0,True,,True,PRC-000000025
PRC-000000014,01ta5000007bvSxAAI,01ta5000007c0cVAAQ,0y7a5000000306uAAA,,,1.0,True,0.0,True,PRC-000000014
PRC-000000016,01ta5000007bvSxAAI,01ta5000007c0cWAAQ,0y7a5000000306uAAA,,,1.0,True,0.0,True,PRC-000000016
PRC-000000013,01ta5000007bvSxAAI,01ta5000007bvSyAAI,0y7a5000000306uAAA,,,1.0,True,0.0,True,PRC-000000013
PRC-000000001,01ta5000007bvSyAAI,01ta5000007c0cTAAQ,,,,1.0,True,0.0,True,PRC-000000001
PRC-000000002,01ta5000007bvSyAAI,01ta5000007c0cUAAQ,,,,1.0,True,0.0,True,PRC-000000002
PRC-000000019,01ta5000007bvSzAAI,01ta5000007bvSUAAY,0y7a5000000306rAAA,,,1.0,True,0.0,True,PRC-000000019
PRC-000000015,01ta5000007bvSzAAI,01ta5000007bvSVAAY,0y7a5000000306rAAA,,,1.0,True,0.0,True,PRC-000000015
PRC-000000012,01ta5000007bvSzAAI,01ta5000007c0cXAAQ,0y7a5000000306rAAA,,,1.0,True,0.0,True,PRC-000000012
PRC-000000030,01ta5000007bvT0AAI,01ta5000007bvSqAAI,0y7a5000000306zAAA,,,1.55,True,1.0,True,PRC-000000030
PRC-000000029,01ta5000007bvT0AAI,01ta5000007bvSrAAI,0y7a5000000306zAAA,,,2.55,True,2.0,True,PRC-000000029
PRC-000000035,01ta5000007d5LaAAI,01ta5000007d5gXAAQ,0y7a5000000311BAAQ,,,1.0,False,1.0,True,PRC-000000035
PRC-000000036,01ta5000007dAJeAAM,01ta5000007d5gXAAQ,0y7a5000000312nAAA,,,1.0,False,1.0,True,PRC-000000036
PRC-000000037,01ta5000007dDW1AAM,01ta5000007d5gXAAQ,0y7a5000000319FAAQ,,,1.0,False,1.0,True,PRC-000000037
PRC-000000038,01ta5000007dDW1AAM,01ta5000007dDkXAAU,0y7a500000031FhAAI,,,1.0,False,2.0,True,PRC-000000038
