Id,Name,Label,Description,DataType,IsActive,IsRequired,DefaultValue,Code,DeveloperName,DefaultHelpText,ValueDescription,SourceSystemIdentifier
,Deployment Option,Deployment Option,The depoloyment option for the product.,Picklist,True,True,On Premise,DM,,The depoloyment option for the product.,Deployment Option,
,Pricing Tier,Pricing Tier,The pricing tier to appy to the product.,Picklist,True,True,1,PT,,The pricing tier to appy to the product.,Pricing Tier,
0tjdp00000000XtAAI,Managed Service?,Managed Service?,,Checkbox,True,True,1,MS,,,Managed Service?,
,License Type,License Type,The license type to apply to the product.,Number,True,True,Subscription,LT,,The license type to apply to the product.,License Type,
,Units,,,Picklist,True,True,,UN,,,,
,Unit Type,,,Picklist,True,True,,UT,,,,
,Server Type,,,Picklist,True,True,Production,ST,,,,
,Version?,,,,True,True,,VER,,,,
,Maintenance Type?,,,,True,True,,MT,,,,
,MYCAP?,,,Checkbox,True,True,,MYCAP,,,,
,Agents?,,,Number,True,True,,AG,,,,
,Type of Agents?,,,Picklist,True,True,,TOA,,,,
,Studios?,,,Number,True,True,,STO,,,,
,Cluster Ready?,,,Checkbox,True,True,,CR,,,,
,Key type?,,,Picklist,True,True,,KT,,,,
,Server Location Type,,,Picklist,True,True,,SLT,,,,
,PGroup,,,Picklist,True,True,,PG,,,,
,Operating System,,,Picklist,True,True,Windows,OS,,,,
0tjdp00000000XuAAI,Term,Term,,Picklist,True,True,,Term,,,Term,
0tjdp00000000XvAAI,Users,Users,,Picklist,True,True,,ATTR007,,,Users,
