Sheet,Row,External ID Field,Generated Value
11_ProductCatalog,1,CatalogCode__c,CATALOG001
11_ProductCatalog,2,CatalogCode__c,CATALOG002
12_ProductCategory,1,CategoryCode__c,CAT001
12_ProductCategory,2,CategoryCode__c,CAT002
12_ProductCategory,3,CategoryCode__c,CAT003
12_ProductCategory,4,CategoryCode__c,CAT004
15_ProductSellingModel,1,ModelCode__c,MODEL001
15_ProductSellingModel,2,ModelCode__c,MODEL002
15_ProductSellingModel,3,ModelCode__c,MODEL003
15_ProductSellingModel,4,ModelCode__c,MODEL004
15_ProductSellingModel,5,ModelCode__c,MODEL005
15_ProductSellingModel,6,ModelCode__c,MODEL006
15_ProductSellingModel,7,ModelCode__c,MODEL007
15_ProductSellingModel,8,ModelCode__c,MODEL008
15_ProductSellingModel,9,ModelCode__c,MODEL009
09_AttributeDefinition,1,AttributeCode__c,ATTR001
09_AttributeDefinition,2,AttributeCode__c,ATTR002
09_AttributeDefinition,3,AttributeCode__c,ATTR003
09_AttributeDefinition,4,AttributeCode__c,ATTR004
09_AttributeDefinition,5,AttributeCode__c,ATTR005
09_AttributeDefinition,6,AttributeCode__c,ATTR006
09_AttributeDefinition,7,AttributeCode__c,ATTR007
13_Product2,1,ProductCode__c,PROD001
13_Product2,2,ProductCode__c,PROD002
13_Product2,3,ProductCode__c,PROD003
13_Product2,4,ProductCode__c,PROD004
13_Product2,5,ProductCode__c,PROD005
13_Product2,6,ProductCode__c,PROD006
13_Product2,7,ProductCode__c,PROD007
13_Product2,8,ProductCode__c,PROD008
13_Product2,9,ProductCode__c,PROD009
13_Product2,10,ProductCode__c,PROD010
13_Product2,11,ProductCode__c,PROD011
13_Product2,12,ProductCode__c,PROD012
13_Product2,13,ProductCode__c,PROD013
13_Product2,14,ProductCode__c,PROD014
13_Product2,15,ProductCode__c,PROD015
13_Product2,16,ProductCode__c,PROD016
13_Product2,17,ProductCode__c,PROD017
13_Product2,18,ProductCode__c,PROD018
13_Product2,19,ProductCode__c,PROD019
13_Product2,20,ProductCode__c,PROD020
13_Product2,21,ProductCode__c,PROD021
