Id,Name,Pricebook2Id,Product2Id,ProductCode,UnitPrice,IsActive,UseStandardPrice,ProductSellingModelId
01ua5000003XzZGAA0,DCS Advanced,01sa50000027OvhAAE,01ta5000007dAJeAAM,DCS-ADV,100,False,False,0jPa5000000BOn3EAG
01ua5000003Xw8LAAS,DCS Cloud Policy Manager Desktop & M365,01sa50000027OvhAAE,01ta5000007d5gXAAQ,DCS-CLOUD-PM,100,False,False,0jPa5000000BOn3EAG
01ua5000003Y36bAAC,DCS Elite,01sa50000027OvhAAE,01ta5000007dDW1AAM,DCS-ELITE,250,False,False,0jPa5000000BOn3EAG
01ua5000003XwI1AAK,DCS Essentials,01sa50000027OvhAAE,01ta5000007d5LaAAI,DCS-ESS,5000,False,False,0jPa5000000BOn3EAG
01ua5000003Y3D3AAK,Fortra Mail for iOS,01sa50000027OvhAAE,01ta5000007dDkXAAU,DCS-MAIL-IOS,25,False,False,0jPa5000000BOn3EAG
,DCS Analysis Collector,01sa50000027OvhAAE,01ta5000007eqDeAAI,CYB-DCS-ACOL-CMP,50,True,False,0jPa5000000BOn3EAG
,DCS Admin Console,01sa50000027OvhAAE,01ta5000007eqDfAAI,CYB-DCS-ACON-CMP,50,True,False,0jPa5000000BOn3EAG
,DCS Advanced,01sa50000027OvhAAE,01ta5000007eqDaAAI,CYB-DCS-ADV-BUN,50,True,False,0jPa5000000BOn3EAG
,Data Detection Engine,01sa50000027OvhAAE,01ta5000007eqDcAAI,CYB-DCS-DDE-CMP,50,True,False,0jPa5000000BOn3EAG
,DCS Elite,01sa50000027OvhAAE,01ta5000007eqDbAAI,CYB-DCS-ELITE-BUN,50,True,False,0jPa5000000BOn3EAG
,DCS Essentials,01sa50000027OvhAAE,01ta5000007eqDZAAY,CYB-DCS-ESS-BUN,50,True,False,0jPa5000000BOn3EAG
,DCS for Windows,01sa50000027OvhAAE,01ta5000007eqDgAAI,CYB-DCS-FW-CMP,50,True,False,0jPa5000000BOn3EAG
,Fortra Mail for iOS,01sa50000027OvhAAE,01ta5000007eqDkAAI,CYB-DCS-MAIL-ADD,50,True,False,0jPa5000000BOn3EAG
,DCS for OWA,01sa50000027OvhAAE,01ta5000007eqDhAAI,CYB-DCS-OWA-CMP,50,True,False,0jPa5000000BOn3EAG
,DCS Policy Manager M365,01sa50000027OvhAAE,01ta5000007eqDmAAI,CYB-DCS-PM365-ADD,50,True,False,0jPa5000000BOn3EAG
,DCS Policy Manager Desktop,01sa50000027OvhAAE,01ta5000007eqDlAAI,CYB-DCS-PMD-ADD,50,True,False,0jPa5000000BOn3EAG
,DCS Getting Started Package,01sa50000027OvhAAE,01ta5000007eqDjAAI,CYB-DCS-QS-CMP,50,True,False,0jPa5000000BOn3EAG
,Software Development Kit,01sa50000027OvhAAE,01ta5000007eqDiAAI,CYB-DCS-SDK-CMP,50,True,False,0jPa5000000BOn3EAG
,Unlimited Classification,01sa50000027OvhAAE,01ta5000007eqDdAAI,CYB-DCS-UC-CMP,50,True,False,0jPa5000000BOn3EAG
,Professional Services Package 1,01sa50000027OvhAAE,01ta5000007eqDnAAI,CYB-DP-PS1-SVC,50,True,False,0jPa5000000BOn4EAG
,Professional Services Package 2,01sa50000027OvhAAE,01ta5000007eqDoAAI,CYB-DP-PS2-SVC,50,True,False,0jPa5000000BOn4EAG
,Professional Services Package 3,01sa50000027OvhAAE,01ta5000007eqDpAAI,CYB-DP-PS3-SVC,50,True,False,0jPa5000000BOn4EAG
,Training,01sa50000027OvhAAE,01ta5000007eqDqAAI,CYB-DP-TRN-SVC,50,True,False,0jPa5000000BOn4EAG
,Support - Tier 1,01sa50000027OvhAAE,01ta5000007eqDrAAI,CYB-SUP-T1-SVC,50,True,False,0jPa5000000BOn3EAG
,Support - Tier 2,01sa50000027OvhAAE,01ta5000007eqDsAAI,CYB-SUP-T2-SVC,50,True,False,0jPa5000000BOn3EAG
,Support - Tier 3,01sa50000027OvhAAE,01ta5000007eqDtAAI,CYB-SUP-T3-SVC,50,True,False,0jPa5000000BOn3EAG
,DCS Advanced,01sa50000027OvhAAE,01ta5000007dAJeAAM,DCS-ADV,50,True,False,0jPa5000000BOn3EAG
,DCS Cloud Policy Manager Desktop & M365,01sa50000027OvhAAE,01ta5000007d5gXAAQ,DCS-CLOUD-PM,50,True,False,0jPa5000000BOn3EAG
,DCS Elite,01sa50000027OvhAAE,01ta5000007dDW1AAM,DCS-ELITE,50,True,False,0jPa5000000BOn3EAG
,DCS Essentials,01sa50000027OvhAAE,01ta5000007d5LaAAI,DCS-ESS,50,True,False,0jPa5000000BOn3EAG
,Fortra Mail for iOS,01sa50000027OvhAAE,01ta5000007dDkXAAU,DCS-MAIL-IOS,50,True,False,0jPa5000000BOn3EAG
