Object,Field,Value
Product2,Family,
Product2,Family,Bundle
Product2,Family,Construction
Product2,ConfigureDuringSale,Allowed
Product2,ConfigureDuringSale,NotAllowed
Product2,ConfigureDuringSale,Required
Product2,DecompositionScope,OrderLineItem
Product2,DecompositionScope,Order
Product2,DecompositionScope,Bundle
Product2,DecompositionScope,Account
Product2,FulfillmentQtyCalcMethod,Aggregate
Product2,FulfillmentQtyCalcMethod,AlwaysOne
Product2,TransferRecordMode,SendAndReceive
Product2,TransferRecordMode,ReceiveOnly
Product2,Type,Bundle
Product2,UsageModelType,Anchor
Product2,UsageModelType,Pack
Product2,UsageModelType,Commit
Product2,QuantityUnitOfMeasure,Each
ProductSellingModel,SellingModelType,OneTime
ProductSellingModel,SellingModelType,TermDefined
ProductSellingModel,SellingModelType,Evergreen
ProductSellingModel,PricingTermUnit,Months
ProductSellingModel,PricingTermUnit,Quarterly
ProductSellingModel,PricingTermUnit,Semi-Annual
ProductSellingModel,PricingTermUnit,Annual
ProductSellingModel,Status,Draft
ProductSellingModel,Status,Active
ProductSellingModel,Status,Inactive
TaxPolicy,Status,Draft
TaxPolicy,Status,Active
TaxPolicy,Status,Inactive
TaxPolicy,TreatmentSelection,LegalEntity
TaxPolicy,TreatmentSelection,Manual
TaxPolicy,TreatmentSelection,Default
LegalEntity,Status,Draft
LegalEntity,Status,Active
LegalEntity,Status,Inactive
ProductClassification,Status,Draft
ProductClassification,Status,Active
ProductClassification,Status,Inactive
AttributeDefinition,DataType,Checkbox
AttributeDefinition,DataType,Date
AttributeDefinition,DataType,Datetime
AttributeDefinition,DataType,Number
AttributeDefinition,DataType,Text
AttributeDefinition,DataType,Currency
AttributeDefinition,DataType,Percent
AttributeDefinition,DataType,Picklist
PriceAdjustmentSchedule,ScheduleType,Volume
PriceAdjustmentSchedule,ScheduleType,Term
PriceAdjustmentSchedule,ScheduleType,Attribute
PriceAdjustmentSchedule,ScheduleType,Bundle
PriceAdjustmentSchedule,ScheduleType,Custom
PriceAdjustmentSchedule,AdjustmentMethod,Range
PriceAdjustmentSchedule,AdjustmentMethod,Slab
PriceAdjustmentTier,TierType,Percent
PriceAdjustmentTier,TierType,Amount
TaxEngine,Status,Draft
TaxEngine,Status,Active
TaxEngine,Status,Inactive
TaxEngine,Type,Internal
TaxEngine,Type,External
